Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.540000000000000e+000, 2.838758556309005e-001,-2.154818084318503e-002, 2.668766822659644e-001, 8.721156789495753e-001, 5.498582147497274e-001, 9.093266953484025e-002, 2.340031189998842e-001
 1.550000000000000e+000, 2.803814442326473e-001,-2.355617639009126e-002, 2.634447923669890e-001, 8.760285831620518e-001, 5.579690290739329e-001, 8.529211272834214e-002, 2.365878152719247e-001
 1.560000000000000e+000, 2.762099344848377e-001,-2.545390720109686e-002, 2.596041642883199e-001, 8.798413075461842e-001, 5.657084030946291e-001, 7.953879912364270e-002, 2.392631910217721e-001
 1.570000000000000e+000, 2.710122007593951e-001,-2.713579450488185e-002, 2.552153431286461e-001, 8.833918140321665e-001, 5.727682070958383e-001, 7.372419073202230e-002, 2.420371330992797e-001
 1.580000000000000e+000, 2.644953802358734e-001,-2.849390808167225e-002, 2.501812505834281e-001, 8.864799676767322e-001, 5.788323833480596e-001, 6.799877977577906e-002, 2.448944535111940e-001
 1.590000000000000e+000, 2.565154949004849e-001,-2.945650098422126e-002, 2.444615813120485e-001, 8.889319637060007e-001, 5.837160773053278e-001, 6.254245761245314e-002, 2.478154692248525e-001
 1.600000000000000e+000, 2.469632175453518e-001,-2.995770809908407e-002, 2.380204831094167e-001, 8.905504329920648e-001, 5.872608293972508e-001, 5.756527626347352e-002, 2.507793669843221e-001
 1.610000000000000e+000, 2.358083632011567e-001,-2.995318191154062e-002, 2.308531941525037e-001, 8.911262554302174e-001, 5.893433830944251e-001, 5.331129578205407e-002, 2.537523048189295e-001
 1.620000000000000e+000, 2.231030694029947e-001,-2.942587281208897e-002, 2.229894316510527e-001, 8.904437104824327e-001, 5.898636582717464e-001, 5.003900576245024e-002, 2.566772427749819e-001
 1.630000000000000e+000, 2.089739880360906e-001,-2.838185929268002e-002, 2.144954580296530e-001, 8.882929892499327e-001, 5.887254693552464e-001, 4.798741338330670e-002, 2.594620912374559e-001
 1.640000000000000e+000, 1.936181803936485e-001,-2.685483192323109e-002, 2.054596305957351e-001, 8.844808721281063e-001, 5.858648706231072e-001, 4.732724136138122e-002, 2.619744688595374e-001
 1.650000000000000e+000, 1.772836543951639e-001,-2.489705088669543e-002, 1.959885780068816e-001, 8.788446245941057e-001, 5.812474398407547e-001, 4.814809887111360e-002, 2.640442143117177e-001
