---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.UpdData = 3
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.FileName = "..\Examples\Plug-in-gait_Simple\Output\\GaitNormal_1-euler-trunk.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion
col11  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending
col12  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
1.680000000000000e+000 -3.267328445331436e-002 9.282874617956995e-001 -3.050983484927071e-001 -3.650362601862046e-002 1.148115555840514e-001 -4.258938653931504e-002 -5.569990831914153e-002 1.060236190106589e-001 -1.281669656927348e-001 -4.515681770837234e-002 -6.002433910746333e-002 1.717075436141915e-001
1.690000000000000e+000 -1.894079491160836e-002 9.304554740416992e-001 -3.041027009698082e-001 -4.209980350557981e-002 1.124306847504550e-001 -4.348098413248855e-002 -5.371503414981183e-002 1.131417016132113e-001 -1.269146085032900e-001 -4.741852971917264e-002 -5.737125789689082e-002 1.690751405711211e-001
1.700000000000000e+000 -5.387540491200936e-003 9.327459658194203e-001 -3.030744531525244e-001 -4.718046341184945e-002 1.101474135367211e-001 -4.422377862613241e-002 -5.202846120870113e-002 1.193969152259716e-001 -1.251156123034611e-001 -4.976196212068610e-002 -5.475762327541895e-002 1.670842124534187e-001
1.710000000000000e+000 7.970246172290139e-003 9.351207879814130e-001 -3.020284320670024e-001 -5.180549838735006e-002 1.080111529193091e-001 -4.486924370709650e-002 -5.058754525290905e-002 1.249046015321722e-001 -1.228212709945005e-001 -5.220769937555161e-002 -5.208897014610191e-002 1.656376208242911e-001
1.720000000000000e+000 2.112682080854027e-002 9.375444815016877e-001 -3.009845225262928e-001 -5.602298396503991e-002 1.060110155996410e-001 -4.540834017051967e-002 -4.939456220577394e-002 1.297748701718781e-001 -1.200523340028292e-001 -5.475681363277359e-002 -4.928068830182192e-002 1.646117611443804e-001
1.730000000000000e+000 3.408606809517147e-002 9.399849813086194e-001 -2.999641826463648e-001 -5.985190598512357e-002 1.040911069027271e-001 -4.577902474079009e-002 -4.849819089181801e-002 1.340820413687246e-001 -1.167997046809018e-001 -5.739142582520395e-002 -4.627824734707773e-002 1.638843680606287e-001
1.740000000000000e+000 4.685915978106849e-002 9.424143588443604e-001 -2.989870803366285e-001 -6.327788707656229e-002 1.021710232240241e-001 -4.589492028748878e-002 -4.796375919038829e-002 1.378529579260249e-001 -1.130315342777505e-001 -6.007774305913210e-002 -4.306176392230168e-002 1.633575981765273e-001
1.750000000000000e+000 5.946154617104235e-002 9.448091343956839e-001 -2.980682863598443e-001 -6.626100995362591e-002 1.001653085042336e-001 -4.568084921985166e-002 -4.783826248844885e-002 1.410683844677760e-001 -1.087137714854020e-001 -6.276863632210622e-002 -3.964868945590740e-002 1.629610146619330e-001
1.760000000000000e+000 7.190948965936936e-002 9.471499686317059e-001 -2.972166705344306e-001 -6.875079614822909e-002 9.799862823024808e-002 -4.509420359721115e-002 -4.813599358104790e-002 1.436774712590292e-001 -1.038352475524397e-001 -6.541490258986338e-002 -3.608688479924057e-002 1.626429022372341e-001
1.770000000000000e+000 8.421733169971869e-002 9.494207023976499e-001 -2.964347730783156e-001 -7.070005497962170e-002 9.561348837719019e-002 -4.412907298240829e-002 -4.884332702936437e-002 1.456145087838977e-001 -9.842754295928383e-002 -6.797847306962973e-002 -3.244550330828335e-002 1.623558408420017e-001
1.780000000000000e+000 9.639697199552066e-002 9.516073786880953e-001 -2.957205380307911e-001 -7.207375065349551e-002 9.296743936672369e-002 -4.281285098984118e-002 -4.992442281403959e-002 1.468153571778708e-001 -9.256177836728612e-002 -7.043849392717137e-002 -2.880126714971541e-002 1.620514222920644e-001
1.790000000000000e+000 1.084592727740174e-001 9.536975947572361e-001 -2.950700633524405e-001 -7.285373511651112e-002 9.002388848419529e-002 -4.120128627147066e-002 -5.132098153451232e-002 1.472329156349070e-001 -8.632425377862928e-002 -7.278867449490029e-002 -2.522106786081228e-002 1.616892804975249e-001
1.800000000000000e+000 1.204154878574398e-001 9.556799217927292e-001 -2.944793705976645e-001 -7.304174032623383e-002 8.675092950788610e-002 -3.937087604442179e-002 -5.295488357695174e-002 1.468463096699398e-001 -7.980227513411045e-002 -7.503285314920827e-002 -2.175299689785467e-002 1.612350448942087e-001
1.810000000000000e+000 1.322772050192070e-001 9.575435344593001e-001 -2.939448078137638e-001 -7.266104632469383e-002 8.312997580655046e-002 -3.740494814808104e-002 -5.474342706485282e-002 1.456695748588344e-001 -7.307493459023989e-002 -7.718877799410510e-002 -1.841928035309487e-002 1.606788952891461e-001
