Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.540000000000000e+000, 2.838758767018230e-001,-2.154818231253370e-002, 2.668766548515088e-001, 8.721156724412764e-001, 5.498582170515269e-001, 9.093267158108920e-002, 2.340031190517092e-001
 1.550000000000000e+000, 2.803814442387416e-001,-2.355617639073230e-002, 2.634447923603258e-001, 8.760285831602839e-001, 5.579690290732633e-001, 8.529211272926296e-002, 2.365878152715638e-001
 1.560000000000000e+000, 2.762099344848423e-001,-2.545390720109686e-002, 2.596041642883147e-001, 8.798413075461831e-001, 5.657084030946371e-001, 7.953879912363804e-002, 2.392631910217749e-001
 1.570000000000000e+000, 2.710122007593965e-001,-2.713579450488185e-002, 2.552153431286465e-001, 8.833918140321669e-001, 5.727682070958333e-001, 7.372419073202563e-002, 2.420371330992779e-001
 1.580000000000000e+000, 2.644953802358734e-001,-2.849390808167225e-002, 2.501812505834272e-001, 8.864799676767334e-001, 5.788323833480503e-001, 6.799877977578439e-002, 2.448944535111931e-001
 1.590000000000000e+000, 2.565154949004835e-001,-2.945650098420995e-002, 2.444615813120480e-001, 8.889319637060025e-001, 5.837160773053266e-001, 6.254245761245203e-002, 2.478154692248525e-001
 1.600000000000000e+000, 2.469632175453522e-001,-2.995770809908407e-002, 2.380204831094158e-001, 8.905504329920627e-001, 5.872608293972593e-001, 5.756527626347086e-002, 2.507793669843239e-001
 1.610000000000000e+000, 2.358083632011576e-001,-2.995318191154062e-002, 2.308531941525037e-001, 8.911262554302162e-001, 5.893433830944201e-001, 5.331129578205829e-002, 2.537523048189322e-001
 1.620000000000000e+000, 2.231030694029947e-001,-2.942587281208142e-002, 2.229894316510517e-001, 8.904437104824327e-001, 5.898636582717481e-001, 5.003900576245113e-002, 2.566772427749819e-001
 1.630000000000000e+000, 2.089739880360901e-001,-2.838185929267219e-002, 2.144954580296519e-001, 8.882929892499322e-001, 5.887254693552494e-001, 4.798741338330292e-002, 2.594620912374568e-001
