Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.540000000000000e+000,-6.031682608592704e-001,-6.103704744522425e-001,-3.487876222052613e-001
 1.550000000000000e+000,-6.030209841329354e-001,-6.086835558438679e-001,-3.487898734666187e-001
 1.560000000000000e+000,-6.027203039690378e-001,-6.066014338874535e-001,-3.487924634143063e-001
 1.570000000000000e+000,-6.022041617374537e-001,-6.039278556956700e-001,-3.487955069415679e-001
 1.580000000000000e+000,-6.014209055775808e-001,-6.005358140584862e-001,-3.487990368298070e-001
 1.590000000000000e+000,-6.003378279969845e-001,-5.964095863451062e-001,-3.488030191039920e-001
 1.600000000000000e+000,-5.989261155251642e-001,-5.915668005372599e-001,-3.488074183317400e-001
 1.610000000000000e+000,-5.971784924688782e-001,-5.860865014540790e-001,-3.488121762392241e-001
 1.620000000000000e+000,-5.951086459537405e-001,-5.801042790204036e-001,-3.488172218752936e-001
 1.630000000000000e+000,-5.927523329850446e-001,-5.737950282502276e-001,-3.488224398560417e-001
 1.640000000000000e+000,-5.901435173563947e-001,-5.673392624328448e-001,-3.488277548842148e-001
 1.650000000000000e+000,-5.873202500238280e-001,-5.608918962750065e-001,-3.488330940269698e-001
 1.660000000000000e+000,-5.843102325564473e-001,-5.545600313888262e-001,-3.488384400204946e-001
 1.670000000000000e+000,-5.811537039705079e-001,-5.483961613062309e-001,-3.488437956978773e-001
 1.680000000000000e+000,-5.778963833392196e-001,-5.423991039432687e-001,-3.488492227763974e-001
 1.690000000000000e+000,-5.745928981596911e-001,-5.365218510264063e-001,-3.488548282017881e-001
 1.700000000000000e+000,-5.713012453067655e-001,-5.306859824884205e-001,-3.488607446672210e-001
 1.710000000000000e+000,-5.680757578985912e-001,-5.248007136093222e-001,-3.488671036401881e-001
 1.720000000000000e+000,-5.649577173739631e-001,-5.187819144394332e-001,-3.488740087308109e-001
 1.730000000000000e+000,-5.619816698964355e-001,-5.125665594261624e-001,-3.488814990652162e-001
 1.740000000000000e+000,-5.591560769879174e-001,-5.061211114925586e-001,-3.488895689323158e-001
 1.750000000000000e+000,-5.564843205489436e-001,-4.994413644056235e-001,-3.488981743617163e-001
 1.760000000000000e+000,-5.539740438806253e-001,-4.925462946263366e-001,-3.489072672533227e-001
 1.770000000000000e+000,-5.516450340777895e-001,-4.854676229612940e-001,-3.489168257290624e-001
 1.780000000000000e+000,-5.495271729444439e-001,-4.782387165535171e-001,-3.489268724292508e-001
