Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 1.540000000000000e+000,-4.089372942046669e-001, 2.726090898625373e-001,-3.493408871063441e-001
 1.550000000000000e+000,-4.095232468881700e-001, 2.717927226319730e-001,-3.493387752491041e-001
 1.560000000000000e+000,-4.100050909029281e-001, 2.713161898087133e-001,-3.493368185357333e-001
 1.570000000000000e+000,-4.102987950616850e-001, 2.712337865045382e-001,-3.493349048557513e-001
 1.580000000000000e+000,-4.103341566830523e-001, 2.716019762898816e-001,-3.493329254708995e-001
 1.590000000000000e+000,-4.100866711637278e-001, 2.724631282091006e-001,-3.493308008343567e-001
 1.600000000000000e+000,-4.095471727568817e-001, 2.738573949270691e-001,-3.493284446909933e-001
 1.610000000000000e+000,-4.087293677590518e-001, 2.758154727760085e-001,-3.493257886344394e-001
 1.620000000000000e+000,-4.076699570360894e-001, 2.783524586850732e-001,-3.493227872068995e-001
 1.630000000000000e+000,-4.064202063160448e-001, 2.814633296870683e-001,-3.493194534137701e-001
 1.640000000000000e+000,-4.050490811724853e-001, 2.851141680198084e-001,-3.493158273811793e-001
 1.650000000000000e+000,-4.036245698204509e-001, 2.892430574746778e-001,-3.493119966692834e-001
 1.660000000000000e+000,-4.022118123814184e-001, 2.937651706473579e-001,-3.493080364770523e-001
 1.670000000000000e+000,-4.008570770224119e-001, 2.985948511440573e-001,-3.493040394102508e-001
 1.680000000000000e+000,-3.995943578783835e-001, 3.036638318731597e-001,-3.493000647724797e-001
 1.690000000000000e+000,-3.984459310245058e-001, 3.089355037001820e-001,-3.492961310532008e-001
 1.700000000000000e+000,-3.974286364143697e-001, 3.144046098722058e-001,-3.492922080889963e-001
 1.710000000000000e+000,-3.965609222532130e-001, 3.200838820026797e-001,-3.492882131345242e-001
 1.720000000000000e+000,-3.958680688976928e-001, 3.259838663534462e-001,-3.492839988824321e-001
 1.730000000000000e+000,-3.953754431277725e-001, 3.320974590010963e-001,-3.492793942153831e-001
 1.740000000000000e+000,-3.951169513819384e-001, 3.383835453346025e-001,-3.492741870539818e-001
 1.750000000000000e+000,-3.951214303074894e-001, 3.447679746506482e-001,-3.492682027845477e-001
 1.760000000000000e+000,-3.954035292455289e-001, 3.511535145118396e-001,-3.492613164083499e-001
 1.770000000000000e+000,-3.959565252664160e-001, 3.574392704493323e-001,-3.492534483951062e-001
 1.780000000000000e+000,-3.967558822261274e-001, 3.635395622167938e-001,-3.492445615361959e-001
 1.790000000000000e+000,-3.977682590861131e-001, 3.693963918463039e-001,-3.492346793205866e-001
 1.800000000000000e+000,-3.989647211961481e-001, 3.749772687242814e-001,-3.492238661279096e-001
 1.810000000000000e+000,-4.003181548367035e-001, 3.802834744819292e-001,-3.492122703844848e-001
 1.820000000000000e+000,-4.018056768207760e-001, 3.853385233666367e-001,-3.492000741107876e-001
 1.830000000000000e+000,-4.033994693655915e-001, 3.901805581320663e-001,-3.491874926735262e-001
 1.840000000000000e+000,-4.050618067301664e-001, 3.948509847809476e-001,-3.491747636953402e-001
 1.850000000000000e+000,-4.067466678797111e-001, 3.993838884067782e-001,-3.491621183002577e-001
 1.860000000000000e+000,-4.084051114972440e-001, 4.037986520291879e-001,-3.491497421564342e-001
 1.870000000000000e+000,-4.099923235995895e-001, 4.080991486463221e-001,-3.491377535050321e-001
 1.880000000000000e+000,-4.114756478372392e-001, 4.122789588507916e-001,-3.491262045598724e-001
 1.890000000000000e+000,-4.128425377689825e-001, 4.163279206869734e-001,-3.491150969388155e-001
 1.900000000000000e+000,-4.140997925275257e-001, 4.202354143470903e-001,-3.491043880790865e-001
 1.910000000000000e+000,-4.152697398834869e-001, 4.239941859676850e-001,-3.490940111548630e-001
 1.920000000000000e+000,-4.163827200283641e-001, 4.276051401700411e-001,-3.490838910033799e-001
 1.930000000000000e+000,-4.174699793916237e-001, 4.310812639102057e-001,-3.490739611453563e-001
 1.940000000000000e+000,-4.185572562070248e-001, 4.344461971761731e-001,-3.490641812226059e-001
 1.950000000000000e+000,-4.196589657820269e-001, 4.377268712424645e-001,-3.490545484154907e-001
 1.960000000000000e+000,-4.207730162222482e-001, 4.409443351059341e-001,-3.490450948607071e-001
 1.970000000000000e+000,-4.218785515561068e-001, 4.441072606017449e-001,-3.490358755683965e-001
 1.980000000000000e+000,-4.229386410341997e-001, 4.472099156115974e-001,-3.490269555399176e-001
 1.990000000000000e+000,-4.239070909517686e-001, 4.502337736412110e-001,-3.490183980789121e-001
 2.000000000000000e+000,-4.247398531344774e-001, 4.531517267755083e-001,-3.490102580926093e-001
 2.010000000000000e+000,-4.253946123325765e-001, 4.559364275436835e-001,-3.490025817980818e-001
 2.020000000000000e+000,-4.258463454575880e-001, 4.585704284726340e-001,-3.489954065782328e-001
 2.030000000000000e+000,-4.260815072341189e-001, 4.610586763530782e-001,-3.489887632675993e-001
 2.040000000000000e+000,-4.261006536735397e-001, 4.634385162483885e-001,-3.489826795076861e-001
 2.050000000000000e+000,-4.259178002509345e-001, 4.657829408830858e-001,-3.489771783385082e-001
 2.060000000000000e+000,-4.255554306261883e-001, 4.681905897506895e-001,-3.489722764935850e-001
 2.070000000000000e+000,-4.250506627661602e-001, 4.707591128493254e-001,-3.489679840853631e-001
 2.080000000000000e+000,-4.244402420272702e-001, 4.735425283759145e-001,-3.489642998738585e-001
 2.090000000000000e+000,-4.237673443170684e-001, 4.764988957438860e-001,-3.489612039913362e-001
 2.100000000000000e+000,-4.230775461702064e-001, 4.794497271249771e-001,-3.489586561061944e-001
 2.110000000000000e+000,-4.224149011667659e-001, 4.820834056780492e-001,-3.489566032436487e-001
 2.120000000000000e+000,-4.218176132362126e-001, 4.840177012517972e-001,-3.489549991944525e-001
 2.130000000000000e+000,-4.213160179389593e-001, 4.848935916504973e-001,-3.489538294553329e-001
