Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 1.540000000000000e+000,-3.134420703832102e-001, 7.848077613335557e-002, 1.203953778775055e-001, 5.433290433148593e-001, 5.255198946518324e-001, 2.564133555792407e-001, 2.455369916489435e-001
 1.550000000000000e+000,-3.110127270411642e-001, 8.011716167371291e-002, 1.211404869487913e-001, 5.380517285089175e-001, 5.247453330398270e-001, 2.618550744182269e-001, 2.438879435157282e-001
 1.560000000000000e+000,-3.084689007664410e-001, 8.169051686647430e-002, 1.221812102977600e-001, 5.325421837923328e-001, 5.241648598903024e-001, 2.673457976126432e-001, 2.422180811393351e-001
 1.570000000000000e+000,-3.057221088020745e-001, 8.315529927334170e-002, 1.235740094400816e-001, 5.267380826420243e-001, 5.239410269931912e-001, 2.728745417731062e-001, 2.405151845888276e-001
 1.580000000000000e+000,-3.026923424160626e-001, 8.447017339166679e-002, 1.253414336189526e-001, 5.206269265538391e-001, 5.242387004234952e-001, 2.784087025148716e-001, 2.387758772240768e-001
 1.590000000000000e+000,-2.993206787283123e-001, 8.561938402492250e-002, 1.274631647124818e-001, 5.142311565124312e-001, 5.251454595334407e-001, 2.839325450751284e-001, 2.370043786344136e-001
 1.600000000000000e+000,-2.955368558787870e-001, 8.659600294852472e-002, 1.298980629397448e-001, 5.075796683019229e-001, 5.267166979168649e-001, 2.894469632015762e-001, 2.352122333608626e-001
 1.610000000000000e+000,-2.912776704512516e-001, 8.740303900837970e-002, 1.325732992574716e-001, 5.007291617230796e-001, 5.289578661053777e-001, 2.949572185238938e-001, 2.334197125538524e-001
 1.620000000000000e+000,-2.865005879868732e-001, 8.804588189010713e-002, 1.353837937267873e-001, 4.937862312787397e-001, 5.317962402325880e-001, 3.004645422352885e-001, 2.316358174223085e-001
 1.630000000000000e+000,-2.811887920818343e-001, 8.855154920317696e-002, 1.382066143448051e-001, 4.868926123046757e-001, 5.352360474026858e-001, 3.059360864802028e-001, 2.299037183353083e-001
 1.640000000000000e+000,-2.753714382699186e-001, 8.893148149926131e-002, 1.409069796743530e-001, 4.802772679840867e-001, 5.391528203036430e-001, 3.113081835313747e-001, 2.282336917799971e-001
 1.650000000000000e+000,-2.691168310492036e-001, 8.920144403466790e-002, 1.433641199581103e-001, 4.742118743362104e-001, 5.434814252795730e-001, 3.164638308208769e-001, 2.266767058912184e-001
 1.660000000000000e+000,-2.625388370822595e-001, 8.933781862424811e-002, 1.454775073164572e-001, 4.690377830488727e-001, 5.479962054260341e-001, 3.212607900491589e-001, 2.252458957814118e-001
 1.670000000000000e+000,-2.557652429767758e-001, 8.932081591501574e-002, 1.471928167108166e-001, 4.650707280204406e-001, 5.526261194543238e-001, 3.255216853565823e-001, 2.240121126868971e-001
 1.680000000000000e+000,-2.489275335387016e-001, 8.910582063161435e-002, 1.485017097843853e-001, 4.626043353230402e-001, 5.572753981440096e-001, 3.290598984216193e-001, 2.230421854509412e-001
 1.690000000000000e+000,-2.421395600768244e-001, 8.863611400887407e-002, 1.494461845904700e-001, 4.618700156302900e-001, 5.618827213082626e-001, 3.316861504705075e-001, 2.224161172987298e-001
 1.700000000000000e+000,-2.354843837275793e-001, 8.785081787790637e-002, 1.501126637361775e-001, 4.630176396751665e-001, 5.664333623949565e-001, 3.332257470298481e-001, 2.222169261655166e-001
 1.710000000000000e+000,-2.290063249877761e-001, 8.669216663825279e-002, 1.506177272728098e-001, 4.661061315250354e-001, 5.709605480208606e-001, 3.335423779387980e-001, 2.225160738965495e-001
 1.720000000000000e+000,-2.227114095944096e-001, 8.510255894964149e-002, 1.510872468924323e-001, 4.711117396646496e-001, 5.754833745198676e-001, 3.325638519332106e-001, 2.233578723744101e-001
 1.730000000000000e+000,-2.165622603147968e-001, 8.305719919526342e-002, 1.516457728305261e-001, 4.778974523235666e-001, 5.801797478096435e-001, 3.302935863774397e-001, 2.248278549957747e-001
 1.740000000000000e+000,-2.105070818542556e-001, 8.051955533329867e-002, 1.523907566804582e-001, 4.862954113310116e-001, 5.850878032709351e-001, 3.268356081588397e-001, 2.269622801529999e-001
 1.750000000000000e+000,-2.044803567371620e-001, 7.748157987305158e-002, 1.533949313538394e-001, 4.960914718325938e-001, 5.903312027032202e-001, 3.223547463159360e-001, 2.298089856547092e-001
 1.760000000000000e+000,-1.984135568992649e-001, 7.395969350316232e-002, 1.547026416546867e-001, 5.070647060480443e-001, 5.960617555438984e-001, 3.170224402205630e-001, 2.333973998836745e-001
 1.770000000000000e+000,-1.922390913475114e-001, 6.999054840432550e-002, 1.563308449596852e-001, 5.190133448072302e-001, 6.024036792637560e-001, 3.109697669879517e-001, 2.377174879570941e-001
 1.780000000000000e+000,-1.858949669290251e-001, 6.562268543101046e-002, 1.582733857544153e-001, 5.317711236983362e-001, 6.093863892035624e-001, 3.042736745411481e-001, 2.427134645384552e-001
 1.790000000000000e+000,-1.793283501881791e-001, 6.091605455626937e-002, 1.605097103124321e-001, 5.452008069026152e-001, 6.169659441923061e-001, 2.969782506695791e-001, 2.483102906584799e-001
 1.800000000000000e+000,-1.725098203236819e-001, 5.591678009023704e-002, 1.630058281145914e-001, 5.592265521722251e-001, 6.249242126893115e-001, 2.891418324269575e-001, 2.543396982435719e-001
 1.810000000000000e+000,-1.654165352911750e-001, 5.068501389497199e-002, 1.657257498680962e-001, 5.737815032786805e-001, 6.331007148148757e-001, 2.808515836897196e-001, 2.605995706958346e-001
 1.820000000000000e+000,-1.580443135869176e-001, 4.526424057192031e-002, 1.686252210874938e-001, 5.888536956320967e-001, 6.412121575416278e-001, 2.722168211951725e-001, 2.667657113084889e-001
 1.830000000000000e+000,-1.504022276797667e-001, 3.969494877663505e-002, 1.716574123529897e-001, 6.044498196141189e-001, 6.489491181972735e-001, 2.633464847015850e-001, 2.725048492374202e-001
 1.840000000000000e+000,-1.425116202433117e-001, 3.402312573842954e-002, 1.747791764584646e-001, 6.205633801014574e-001, 6.560655375968614e-001, 2.543482235046433e-001, 2.775896390119322e-001
 1.850000000000000e+000,-1.344069452456274e-001, 2.830126808836779e-002, 1.779552438806718e-001, 6.371640145257513e-001, 6.624267835575532e-001, 2.453315041507369e-001, 2.819396676757049e-001
 1.860000000000000e+000,-1.261350351394031e-001, 2.258391161078450e-002, 1.811579602989449e-001, 6.542036495897469e-001, 6.680029443897727e-001, 2.363990401233551e-001, 2.855939455159922e-001
 1.870000000000000e+000,-1.177488292351616e-001, 1.692249203882479e-002, 1.843649790603676e-001, 6.716191711194700e-001, 6.728469937623136e-001, 2.276376743208033e-001, 2.886739695484050e-001
 1.880000000000000e+000,-1.092991534483212e-001, 1.136116695123655e-002, 1.875575352122335e-001, 6.893320866616680e-001, 6.770669668368758e-001, 2.191125801454625e-001, 2.913567429929249e-001
 1.890000000000000e+000,-1.008326325913131e-001, 5.934609621231718e-003, 1.907202234872169e-001, 7.072579841421660e-001, 6.807842299762233e-001, 2.108623338070155e-001, 2.938377002223616e-001
 1.900000000000000e+000,-9.239202429638849e-002, 6.672179612154088e-004, 1.938418837251311e-001, 7.253180210523932e-001, 6.841121220117290e-001, 2.029043256723631e-001, 2.962928196873114e-001
