Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.540000000000000e+000,-6.031682669702154e-001,-6.103705060259332e-001,-3.487876221344125e-001
 1.550000000000000e+000,-6.030209841340267e-001,-6.086835558525121e-001,-3.487898734665895e-001
 1.560000000000000e+000,-6.027203039690403e-001,-6.066014338874672e-001,-3.487924634143063e-001
 1.570000000000000e+000,-6.022041617374540e-001,-6.039278556956749e-001,-3.487955069415675e-001
 1.580000000000000e+000,-6.014209055775821e-001,-6.005358140584836e-001,-3.487990368298073e-001
 1.590000000000000e+000,-6.003378279969841e-001,-5.964095863451040e-001,-3.488030191039914e-001
 1.600000000000000e+000,-5.989261155251612e-001,-5.915668005372545e-001,-3.488074183317403e-001
 1.610000000000000e+000,-5.971784924688792e-001,-5.860865014540817e-001,-3.488121762392228e-001
 1.620000000000000e+000,-5.951086459537378e-001,-5.801042790203934e-001,-3.488172218752939e-001
 1.630000000000000e+000,-5.927523329850437e-001,-5.737950282502187e-001,-3.488224398560411e-001
 1.640000000000000e+000,-5.901435173563920e-001,-5.673392624328359e-001,-3.488277548842142e-001
 1.650000000000000e+000,-5.873202500238297e-001,-5.608918962750100e-001,-3.488330940269694e-001
 1.660000000000000e+000,-5.843102325564475e-001,-5.545600313888262e-001,-3.488384400204949e-001
 1.670000000000000e+000,-5.811537039705075e-001,-5.483961613062327e-001,-3.488437956978773e-001
 1.680000000000000e+000,-5.778963833392188e-001,-5.423991039432590e-001,-3.488492227763970e-001
 1.690000000000000e+000,-5.745928981596925e-001,-5.365218510264089e-001,-3.488548282017868e-001
 1.700000000000000e+000,-5.713012453067666e-001,-5.306859824884160e-001,-3.488607446672213e-001
 1.710000000000000e+000,-5.680757578985910e-001,-5.248007136093316e-001,-3.488671036401881e-001
 1.720000000000000e+000,-5.649577173739628e-001,-5.187819144394368e-001,-3.488740087308113e-001
 1.730000000000000e+000,-5.619816698964493e-001,-5.125665594261690e-001,-3.488814990652168e-001
 1.740000000000000e+000,-5.591560769879094e-001,-5.061211114925497e-001,-3.488895689323171e-001
 1.750000000000000e+000,-5.564843205489451e-001,-4.994413644056239e-001,-3.488981743617156e-001
 1.760000000000000e+000,-5.539740438806243e-001,-4.925462946263384e-001,-3.489072672533234e-001
