Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 1.540000000000000e+000,-3.134420832376128e-001, 7.848077494091733e-002, 1.203953516492436e-001, 5.433290411336715e-001, 5.255199064957766e-001, 2.564133510406486e-001, 2.455369958937092e-001
 1.550000000000000e+000,-3.110127270449805e-001, 8.011716167304427e-002, 1.211404869421848e-001, 5.380517285087615e-001, 5.247453330410542e-001, 2.618550744171713e-001, 2.438879435160859e-001
 1.560000000000000e+000,-3.084689007664445e-001, 8.169051686647702e-002, 1.221812102977555e-001, 5.325421837923328e-001, 5.241648598903030e-001, 2.673457976126414e-001, 2.422180811393351e-001
 1.570000000000000e+000,-3.057221088020754e-001, 8.315529927333902e-002, 1.235740094400816e-001, 5.267380826420243e-001, 5.239410269931883e-001, 2.728745417731084e-001, 2.405151845888276e-001
 1.580000000000000e+000,-3.026923424160630e-001, 8.447017339166153e-002, 1.253414336189526e-001, 5.206269265538400e-001, 5.242387004234930e-001, 2.784087025148738e-001, 2.387758772240759e-001
 1.590000000000000e+000,-2.993206787283114e-001, 8.561938402491991e-002, 1.274631647124800e-001, 5.142311565124306e-001, 5.251454595334427e-001, 2.839325450751278e-001, 2.370043786344117e-001
 1.600000000000000e+000,-2.955368558787881e-001, 8.659600294852472e-002, 1.298980629397448e-001, 5.075796683019236e-001, 5.267166979168647e-001, 2.894469632015759e-001, 2.352122333608617e-001
 1.610000000000000e+000,-2.912776704512512e-001, 8.740303900837462e-002, 1.325732992574716e-001, 5.007291617230786e-001, 5.289578661053763e-001, 2.949572185238947e-001, 2.334197125538514e-001
 1.620000000000000e+000,-2.865005879868730e-001, 8.804588189010966e-002, 1.353837937267873e-001, 4.937862312787387e-001, 5.317962402325887e-001, 3.004645422352867e-001, 2.316358174223094e-001
 1.630000000000000e+000,-2.811887920818341e-001, 8.855154920317569e-002, 1.382066143448067e-001, 4.868926123046762e-001, 5.352360474026823e-001, 3.059360864802048e-001, 2.299037183353054e-001
 1.640000000000000e+000,-2.753714382699193e-001, 8.893148149925630e-002, 1.409069796743514e-001, 4.802772679840877e-001, 5.391528203036425e-001, 3.113081835313758e-001, 2.282336917799971e-001
 1.650000000000000e+000,-2.691168310492043e-001, 8.920144403466292e-002, 1.433641199581087e-001, 4.742118743362109e-001, 5.434814252795747e-001, 3.164638308208780e-001, 2.266767058912184e-001
 1.660000000000000e+000,-2.625388370822592e-001, 8.933781862424811e-002, 1.454775073164572e-001, 4.690377830488727e-001, 5.479962054260334e-001, 3.212607900491591e-001, 2.252458957814128e-001
 1.670000000000000e+000,-2.557652429767758e-001, 8.932081591501823e-002, 1.471928167108166e-001, 4.650707280204401e-001, 5.526261194543238e-001, 3.255216853565817e-001, 2.240121126868971e-001
 1.680000000000000e+000,-2.489275335387018e-001, 8.910582063161435e-002, 1.485017097843853e-001, 4.626043353230397e-001, 5.572753981440132e-001, 3.290598984216171e-001, 2.230421854509412e-001
 1.690000000000000e+000,-2.421395600768230e-001, 8.863611400887156e-002, 1.494461845904700e-001, 4.618700156302890e-001, 5.618827213082638e-001, 3.316861504705067e-001, 2.224161172987298e-001
 1.700000000000000e+000,-2.354843837275791e-001, 8.785081787790637e-002, 1.501126637361775e-001, 4.630176396751665e-001, 5.664333623949565e-001, 3.332257470298479e-001, 2.222169261655176e-001
 1.710000000000000e+000,-2.290063249877770e-001, 8.669216663825279e-002, 1.506177272728091e-001, 4.661061315250364e-001, 5.709605480208613e-001, 3.335423779387983e-001, 2.225160738965485e-001
 1.720000000000000e+000,-2.227114095944096e-001, 8.510255894964149e-002, 1.510872468924323e-001, 4.711117396646491e-001, 5.754833745198666e-001, 3.325638519332106e-001, 2.233578723744111e-001
 1.730000000000000e+000,-2.165622603147923e-001, 8.305719919525807e-002, 1.516457728305261e-001, 4.778974523235623e-001, 5.801797478096644e-001, 3.302935863774301e-001, 2.248278549957787e-001
 1.740000000000000e+000,-2.105070818542574e-001, 8.051955533329867e-002, 1.523907566804582e-001, 4.862954113310140e-001, 5.850878032709206e-001, 3.268356081588466e-001, 2.269622801529969e-001
 1.750000000000000e+000,-2.044803567371614e-001, 7.748157987305158e-002, 1.533949313538379e-001, 4.960914718325928e-001, 5.903312027032218e-001, 3.223547463159360e-001, 2.298089856547112e-001
 1.760000000000000e+000,-1.984135568992649e-001, 7.395969350316232e-002, 1.547026416546867e-001, 5.070647060480450e-001, 5.960617555438948e-001, 3.170224402205650e-001, 2.333973998836754e-001
 1.770000000000000e+000,-1.922390913475107e-001, 6.999054840432074e-002, 1.563308449596852e-001, 5.190133448072302e-001, 6.024036792637565e-001, 3.109697669879528e-001, 2.377174879570941e-001
 1.780000000000000e+000,-1.858949669290253e-001, 6.562268543100369e-002, 1.582733857544139e-001, 5.317711236983369e-001, 6.093863892035593e-001, 3.042736745411494e-001, 2.427134645384534e-001
 1.790000000000000e+000,-1.793283501881788e-001, 6.091605455627301e-002, 1.605097103124334e-001, 5.452008069026159e-001, 6.169659441923048e-001, 2.969782506695811e-001, 2.483102906584763e-001
 1.800000000000000e+000,-1.725098203236815e-001, 5.591678009023704e-002, 1.630058281145907e-001, 5.592265521722251e-001, 6.249242126893110e-001, 2.891418324269570e-001, 2.543396982435719e-001
 1.810000000000000e+000,-1.654165352911756e-001, 5.068501389497637e-002, 1.657257498680969e-001, 5.737815032786814e-001, 6.331007148148742e-001, 2.808515836897205e-001, 2.605995706958337e-001
 1.820000000000000e+000,-1.580443135869174e-001, 4.526424057192031e-002, 1.686252210874938e-001, 5.888536956320970e-001, 6.412121575416272e-001, 2.722168211951739e-001, 2.667657113084863e-001
 1.830000000000000e+000,-1.504022276797663e-001, 3.969494877664065e-002, 1.716574123529910e-001, 6.044498196141187e-001, 6.489491181972682e-001, 2.633464847015865e-001, 2.725048492374194e-001
 1.840000000000000e+000,-1.425116202433112e-001, 3.402312573841975e-002, 1.747791764584633e-001, 6.205633801014574e-001, 6.560655375968597e-001, 2.543482235046444e-001, 2.775896390119305e-001
 1.850000000000000e+000,-1.344069452456267e-001, 2.830126808835994e-002, 1.779552438806718e-001, 6.371640145257504e-001, 6.624267835575499e-001, 2.453315041507369e-001, 2.819396676757049e-001
 1.860000000000000e+000,-1.261350351394033e-001, 2.258391161078450e-002, 1.811579602989449e-001, 6.542036495897480e-001, 6.680029443897693e-001, 2.363990401233558e-001, 2.855939455159914e-001
 1.870000000000000e+000,-1.177488292351607e-001, 1.692249203881167e-002, 1.843649790603676e-001, 6.716191711194706e-001, 6.728469937623167e-001, 2.276376743208024e-001, 2.886739695484058e-001
 1.880000000000000e+000,-1.092991534483216e-001, 1.136116695123655e-002, 1.875575352122335e-001, 6.893320866616683e-001, 6.770669668368754e-001, 2.191125801454636e-001, 2.913567429929249e-001
 1.890000000000000e+000,-1.008326325913143e-001, 5.934609621194303e-003, 1.907202234872169e-001, 7.072579841421675e-001, 6.807842299762329e-001, 2.108623338070121e-001, 2.938377002223616e-001
 1.900000000000000e+000,-9.239202429639914e-002, 6.672179617145964e-004, 1.938418837251104e-001, 7.253180210523607e-001, 6.841121220120916e-001, 2.029043256720982e-001, 2.962928196874597e-001
 1.910000000000000e+000,-8.401745299154895e-002,-4.425689640444042e-003, 1.969186358486499e-001, 7.434428165941602e-001, 6.871625380752302e-001, 1.952515144830831e-001, 2.988580276103534e-001
 1.920000000000000e+000,-7.574661221800616e-002,-9.337089795130997e-003, 1.999560598339341e-001, 7.615727914249237e-001, 6.900503003293520e-001, 1.879209681331855e-001, 3.016184280540545e-001
 1.930000000000000e+000,-6.761683446172695e-002,-1.406774975847860e-002, 2.029694090536245e-001, 7.796587357823551e-001, 6.928765271338195e-001, 1.809307440313102e-001, 3.046045998048734e-001
 1.940000000000000e+000,-5.966771416598671e-002,-1.862601367533001e-002, 2.059812118041930e-001, 7.976604622065355e-001, 6.957018524605442e-001, 1.742941189421661e-001, 3.078015248425274e-001
