Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 6.300000000000000e-001,-3.038238760206625e-001, 2.067719597387123e-001,-3.490657519590862e-001
 6.400000000000000e-001,-3.036939537014975e-001, 2.066610022860718e-001,-3.490657501521178e-001
 6.500000000000000e-001,-3.035437037776185e-001, 2.065411772904247e-001,-3.490657485420308e-001
 6.600000000000000e-001,-3.033854445805181e-001, 2.064192729306142e-001,-3.490657473892100e-001
 6.699999999999999e-001,-3.032318210725133e-001, 2.063026480957069e-001,-3.490657467722150e-001
 6.800000000000001e-001,-3.030939252380621e-001, 2.061975449306981e-001,-3.490657466399491e-001
 6.900000000000000e-001,-3.029796757046992e-001, 2.061092174684929e-001,-3.490657469943755e-001
 7.000000000000001e-001,-3.028935576616950e-001, 2.060431819740622e-001,-3.490657479511917e-001
 7.100000000000000e-001,-3.028381555778520e-001, 2.060052206101237e-001,-3.490657496186145e-001
 7.200000000000000e-001,-3.028165444389727e-001, 2.059997831277252e-001,-3.490657519296200e-001
 7.300000000000000e-001,-3.028326653111296e-001, 2.060282719773876e-001,-3.490657546115440e-001
 7.400000000000000e-001,-3.028887974400722e-001, 2.060881674831874e-001,-3.490657574181463e-001
 7.500000000000000e-001,-3.029827614009174e-001, 2.061732340948983e-001,-3.490657604087007e-001
 7.600000000000000e-001,-3.031064214763875e-001, 2.062746544014433e-001,-3.490657639736249e-001
 7.699999999999999e-001,-3.032460104611880e-001, 2.063827460273533e-001,-3.490657685570510e-001
 7.800000000000000e-001,-3.033855258978306e-001, 2.064889467473152e-001,-3.490657742163307e-001
 7.899999999999999e-001,-3.035115557425784e-001, 2.065869287113284e-001,-3.490657804797223e-001
 8.000000000000000e-001,-3.036155145103268e-001, 2.066718636295131e-001,-3.490657866820651e-001
 8.099999999999999e-001,-3.036930516134165e-001, 2.067395093969071e-001,-3.490657922481851e-001
 8.200000000000001e-001,-3.037436234806278e-001, 2.067873136450620e-001,-3.490657967518265e-001
 8.300000000000000e-001,-3.037705736700181e-001, 2.068162545908980e-001,-3.490658000133954e-001
 8.400000000000000e-001,-3.037793489088940e-001, 2.068305494539624e-001,-3.490658021282262e-001
 8.500000000000000e-001,-3.037741085016211e-001, 2.068352702340526e-001,-3.490658032577128e-001
 8.600000000000000e-001,-3.037563415339753e-001, 2.068343517175442e-001,-3.490658034775325e-001
 8.700000000000000e-001,-3.037268526791261e-001, 2.068302253789778e-001,-3.490658028645329e-001
 8.800000000000000e-001,-3.036879653196239e-001, 2.068242207882105e-001,-3.490658015786257e-001
 8.899999999999999e-001,-3.036428163610196e-001, 2.068166290422235e-001,-3.490657997681204e-001
 9.000000000000000e-001,-3.035930411226172e-001, 2.068064699285366e-001,-3.490657974634299e-001
 9.099999999999999e-001,-3.035380710586741e-001, 2.067917227462415e-001,-3.490657946447557e-001
 9.200000000000000e-001,-3.034760205497223e-001, 2.067700544918758e-001,-3.490657913643456e-001
 9.299999999999999e-001,-3.034048040553519e-001, 2.067396988335799e-001,-3.490657878111108e-001
 9.400000000000001e-001,-3.033239155820283e-001, 2.067005817964929e-001,-3.490657843871049e-001
 9.500000000000000e-001,-3.032380210573123e-001, 2.066541198103220e-001,-3.490657853795512e-001
 9.600000000000000e-001,-3.031490648213771e-001, 2.066060397354208e-001,-3.490657834344171e-001
 9.700000000000000e-001,-3.030660168651420e-001, 2.065590263076420e-001,-3.490657819173880e-001
 9.800000000000000e-001,-3.029948784436813e-001, 2.065160366217198e-001,-3.490657808776814e-001
 9.900000000000000e-001,-3.029369490247337e-001, 2.064786519058961e-001,-3.490657802862571e-001
 1.000000000000000e+000,-3.028891419265539e-001, 2.064462279490342e-001,-3.490657800109269e-001
