Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 1.000000000000000e-002,-3.000328779538342e-001, 2.112895332328109e-001,-3.490658503908288e-001
 2.000000000000000e-002,-3.003096978454639e-001, 2.111806944034695e-001,-3.490658442750382e-001
 3.000000000000000e-002,-3.005804088945817e-001, 2.110678202760430e-001,-3.490658381904283e-001
 4.000000000000000e-002,-3.008425914712523e-001, 2.109524826539782e-001,-3.490658321697582e-001
 5.000000000000000e-002,-3.010905980960715e-001, 2.108367097590609e-001,-3.490658263072451e-001
 6.000000000000000e-002,-3.013135915601681e-001, 2.107184514101335e-001,-3.490658207641543e-001
 6.999999999999999e-002,-3.014978338664354e-001, 2.105924229417828e-001,-3.490658157222301e-001
 7.999999999999999e-002,-3.016316803244452e-001, 2.104542288660523e-001,-3.490658317166973e-001
 9.000000000000000e-002,-3.017183142524834e-001, 2.103010069754745e-001,-3.490658212833666e-001
 9.999999999999999e-002,-3.017633325875569e-001, 2.101348138974442e-001,-3.490658132193308e-001
 1.100000000000000e-001,-3.017783461804039e-001, 2.099580379370629e-001,-3.490658075569812e-001
 1.200000000000000e-001,-3.017755774073928e-001, 2.097723895133741e-001,-3.490658036566704e-001
 1.300000000000000e-001,-3.017660585429620e-001, 2.095788703817916e-001,-3.490658007604527e-001
 1.400000000000000e-001,-3.017585335657203e-001, 2.093782757166169e-001,-3.490657981414178e-001
 1.500000000000000e-001,-3.017578003155231e-001, 2.091715636688698e-001,-3.490657951297275e-001
 1.600000000000000e-001,-3.017635721774510e-001, 2.089603868004646e-001,-3.490657912041281e-001
 1.700000000000000e-001,-3.017725460437067e-001, 2.087476611872696e-001,-3.490657862223068e-001
 1.800000000000000e-001,-3.017835546116865e-001, 2.085378258416593e-001,-3.490657806093783e-001
 1.900000000000000e-001,-3.018008715226870e-001, 2.083363184626954e-001,-3.490657751527674e-001
 2.000000000000000e-001,-3.018320852592186e-001, 2.081479641770376e-001,-3.490657704160036e-001
 2.100000000000000e-001,-3.018833964936985e-001, 2.079756462655507e-001,-3.490657663645960e-001
 2.200000000000000e-001,-3.019575185938014e-001, 2.078203342491940e-001,-3.490657626070935e-001
 2.300000000000000e-001,-3.020552606571146e-001, 2.076816404415189e-001,-3.490657588551321e-001
 2.400000000000000e-001,-3.021769429552212e-001, 2.075585954760648e-001,-3.490657550183656e-001
 2.500000000000000e-001,-3.023214116267904e-001, 2.074506667616098e-001,-3.490657510476884e-001
 2.600000000000000e-001,-3.024853521181475e-001, 2.073581798829407e-001,-3.490657469719853e-001
 2.700000000000000e-001,-3.026640866712163e-001, 2.072820215933793e-001,-3.490657429943270e-001
 2.800000000000000e-001,-3.028516176552473e-001, 2.072233886192534e-001,-3.490657394316957e-001
 2.900000000000000e-001,-3.030399758387958e-001, 2.071838263681463e-001,-3.490657366768546e-001
 3.000000000000000e-001,-3.032205411617179e-001, 2.071652431424642e-001,-3.490657352234899e-001
 3.100000000000000e-001,-3.033874211078856e-001, 2.071695885291935e-001,-3.490657355420615e-001
 3.200000000000000e-001,-3.035387466960260e-001, 2.071978819316365e-001,-3.490657378106041e-001
 3.300000000000000e-001,-3.036738211564134e-001, 2.072486244429141e-001,-3.490657417772420e-001
 3.400000000000000e-001,-3.037905831474029e-001, 2.073168994766492e-001,-3.490657468447898e-001
 3.500000000000000e-001,-3.038865770079943e-001, 2.073955558090368e-001,-3.490657522770643e-001
 3.600000000000000e-001,-3.039604269480078e-001, 2.074773110664556e-001,-3.490657574168745e-001
 3.700000000000000e-001,-3.040118114554637e-001, 2.075556970055454e-001,-3.490657617563240e-001
 3.800000000000000e-001,-3.040412739831812e-001, 2.076249010634774e-001,-3.490657649250899e-001
 3.900000000000000e-001,-3.040503676140929e-001, 2.076793371137116e-001,-3.490657667148764e-001
 4.000000000000000e-001,-3.040419056564463e-001, 2.077136775031885e-001,-3.490657671396972e-001
 4.100000000000000e-001,-3.040198796851203e-001, 2.077240855589750e-001,-3.490657665382665e-001
 4.200000000000000e-001,-3.039883492560614e-001, 2.077096726292231e-001,-3.490657654770425e-001
 4.300000000000000e-001,-3.039499309147336e-001, 2.076726209975235e-001,-3.490657643852886e-001
 4.400000000000000e-001,-3.039049907208866e-001, 2.076173317312966e-001,-3.490657633432474e-001
 4.500000000000000e-001,-3.038520375191856e-001, 2.075496609217367e-001,-3.490657621988446e-001
 4.600000000000000e-001,-3.037896837012089e-001, 2.074763273110039e-001,-3.490657608305669e-001
 4.700000000000000e-001,-3.037192168938996e-001, 2.074041683506234e-001,-3.490657593634169e-001
 4.800000000000000e-001,-3.036454138240416e-001, 2.073392157223202e-001,-3.490657581404407e-001
 4.900000000000000e-001,-3.035752073661472e-001, 2.072858261365342e-001,-3.490657574843727e-001
 5.000000000000000e-001,-3.035164906479575e-001, 2.072461145661024e-001,-3.490657575125649e-001
 5.100000000000000e-001,-3.034780252948859e-001, 2.072196452141615e-001,-3.490657580833344e-001
 5.200000000000000e-001,-3.034689681635314e-001, 2.072033632529577e-001,-3.490657588314948e-001
 5.300000000000000e-001,-3.034964974979369e-001, 2.071924185738820e-001,-3.490657593545860e-001
 5.400000000000000e-001,-3.035614795943582e-001, 2.071822133934815e-001,-3.490657594695260e-001
 5.499999999999999e-001,-3.036549801149613e-001, 2.071700885819192e-001,-3.490657592458888e-001
 5.600000000000001e-001,-3.037600319963783e-001, 2.071547406222873e-001,-3.490657588346425e-001
 5.700000000000000e-001,-3.038586416674498e-001, 2.071344058108622e-001,-3.490657583404486e-001
 5.800000000000001e-001,-3.039376748269088e-001, 2.071064193906009e-001,-3.490657577695109e-001
 5.900000000000000e-001,-3.039888585550868e-001, 2.070680805588872e-001,-3.490657570683735e-001
 6.000000000000000e-001,-3.040060364454548e-001, 2.070170281152479e-001,-3.490657561871811e-001
 6.100000000000000e-001,-3.039846372206322e-001, 2.069512183160993e-001,-3.490657550719749e-001
 6.200000000000000e-001,-3.039230734121116e-001, 2.068694369259441e-001,-3.490657536588334e-001
