Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.925000000000000e+001,-2.745905764603626e-001,-3.364667957188712e-001,-3.490617793033848e-001
 1.926000000000000e+001,-2.750737663030343e-001,-3.362285652506227e-001,-3.490617186583480e-001
 1.927000000000000e+001,-2.756585331510315e-001,-3.357676577908779e-001,-3.490616343755565e-001
 1.928000000000000e+001,-2.763378025546508e-001,-3.350657604865719e-001,-3.490615255948494e-001
 1.929000000000000e+001,-2.770889441650510e-001,-3.341253087013807e-001,-3.490613941748317e-001
 1.930000000000000e+001,-2.778679790347206e-001,-3.329775595712876e-001,-3.490612459093517e-001
 1.931000000000000e+001,-2.786081628920494e-001,-3.316869828948774e-001,-3.490610908280843e-001
 1.932000000000000e+001,-2.792380068749210e-001,-3.303405452510106e-001,-3.490609411119607e-001
 1.933000000000000e+001,-2.797113072994091e-001,-3.290240270126965e-001,-3.490608073577273e-001
 1.934000000000000e+001,-2.800192507413640e-001,-3.278054136781181e-001,-3.490606961773544e-001
 1.935000000000000e+001,-2.801776960210007e-001,-3.267337873657084e-001,-3.490606102088917e-001
 1.936000000000000e+001,-2.802109846619803e-001,-3.258428253047403e-001,-3.490605490661360e-001
 1.937000000000000e+001,-2.801458057006578e-001,-3.251507341391369e-001,-3.490605102825077e-001
 1.938000000000000e+001,-2.800102455859468e-001,-3.246589287896837e-001,-3.490604902271428e-001
 1.939000000000000e+001,-2.798299140691208e-001,-3.243534519098583e-001,-3.490604848101102e-001
 1.940000000000000e+001,-2.796237045012900e-001,-3.242094701524612e-001,-3.490604899341075e-001
 1.941000000000000e+001,-2.794062868070413e-001,-3.241969336299031e-001,-3.490605019343467e-001
 1.942000000000000e+001,-2.791930739909551e-001,-3.242850502116759e-001,-3.490605179110350e-001
 1.943000000000000e+001,-2.789992843911259e-001,-3.244448559886353e-001,-3.490605357056946e-001
 1.944000000000000e+001,-2.788357159638888e-001,-3.246512399202453e-001,-3.490605537107127e-001
 1.945000000000000e+001,-2.787073841746910e-001,-3.248848336675985e-001,-3.490605707732457e-001
 1.946000000000000e+001,-2.786149496694014e-001,-3.251330177575833e-001,-3.490605861461426e-001
 1.947000000000000e+001,-2.785569442207936e-001,-3.253897641380790e-001,-3.490605994299019e-001
 1.948000000000000e+001,-2.785307809193555e-001,-3.256544914040205e-001,-3.490606105155836e-001
 1.949000000000000e+001,-2.785320134285927e-001,-3.259307239612548e-001,-3.490606195269271e-001
 1.950000000000000e+001,-2.785547719426645e-001,-3.262248595311528e-001,-3.490606268156825e-001
 1.951000000000000e+001,-2.785940593000253e-001,-3.265444804032387e-001,-3.490606330232228e-001
 1.952000000000000e+001,-2.786478143293276e-001,-3.268966317011124e-001,-3.490606391268881e-001
 1.953000000000000e+001,-2.787165260101550e-001,-3.272862295762389e-001,-3.490606463577317e-001
 1.954000000000000e+001,-2.787993362406927e-001,-3.277137183028471e-001,-3.490606559644791e-001
 1.955000000000000e+001,-2.788914772841497e-001,-3.281735164027912e-001,-3.490606690079158e-001
