Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 5.620000000000000e+000,-5.762018656683356e-001, 3.700625076240840e-001,-3.490658503988521e-001
 5.630000000000000e+000,-5.753070474733401e-001, 3.705157726730319e-001,-3.490658503950676e-001
 5.640000000000000e+000,-5.731573516964565e-001, 3.730901892403362e-001,-3.490658503936244e-001
 5.650000000000000e+000,-5.736620074698559e-001, 3.742110502507154e-001,-3.490658503924541e-001
 5.660000000000000e+000,-5.730827766456109e-001, 3.759428235365099e-001,-3.490658503865411e-001
 5.670000000000000e+000,-5.749896888110827e-001, 3.788601975758064e-001,-3.490658503767331e-001
 5.680000000000000e+000,-5.756403378054575e-001, 3.832778249553299e-001,-3.490658503984779e-001
 5.690000000000000e+000,-5.799978890108437e-001, 3.889816262125312e-001,-3.490658503982598e-001
 5.700000000000000e+000,-5.816133293441932e-001, 3.928248169632647e-001,-3.490658503980069e-001
 5.710000000000000e+000,-5.835647473514697e-001, 4.008930714133432e-001,-3.490658503977673e-001
 5.720000000000000e+000,-5.863446892484382e-001, 4.105035564743904e-001,-3.490658503975226e-001
 5.730000000000000e+000,-5.954336355225449e-001, 4.227724483576911e-001,-3.490658503973103e-001
 5.740000000000000e+000,-5.986303626091629e-001, 4.343659826978692e-001,-3.490658503973427e-001
 5.750000000000000e+000,-6.084228932195772e-001, 4.475072464122911e-001,-3.490658503971502e-001
 5.760000000000000e+000,-6.147986887356877e-001, 4.563384018165717e-001,-3.490658503970486e-001
 5.770000000000001e+000,-6.235329446353454e-001, 4.682678091352832e-001,-3.490658503982633e-001
 5.780000000000000e+000,-6.324722456343663e-001, 4.802676175775980e-001,-3.490658503975021e-001
 5.790000000000000e+000,-6.417386831246337e-001, 4.925171110500002e-001,-3.490658503991690e-001
 5.800000000000000e+000,-6.516873733578668e-001, 5.053666555617311e-001,-3.490658503972285e-001
 5.810000000000001e+000,-6.561688167714495e-001, 5.204018525348535e-001,-3.490658503973612e-001
 5.820000000000000e+000,-6.655733478696755e-001, 5.323297739641106e-001,-3.490658503981033e-001
 5.830000000000000e+000,-6.701492622260241e-001, 5.470261845534898e-001,-3.490658503976420e-001
 5.840000000000000e+000,-6.750198689521798e-001, 5.616802282837834e-001,-3.490658503977742e-001
 5.850000000000000e+000,-6.845523149599270e-001, 5.732422512402265e-001,-3.490658503978891e-001
 5.860000000000000e+000,-6.944287298206610e-001, 5.852451633168100e-001,-3.490658503979998e-001
 5.870000000000000e+000,-7.041345929941599e-001, 5.966464554964707e-001,-3.490658503994530e-001
 5.880000000000000e+000,-7.091022463395454e-001, 6.065492261980705e-001,-3.490658503984863e-001
 5.890000000000000e+000,-7.169413094303817e-001, 6.167046960335307e-001,-3.490658503976245e-001
 5.900000000000000e+000,-7.247023248619284e-001, 6.272129856414193e-001,-3.490658503986853e-001
 5.910000000000000e+000,-7.259047815804326e-001, 6.403147900028006e-001,-3.490658504002281e-001
 5.920000000000000e+000,-7.341299408372078e-001, 6.501795967313252e-001,-3.490658503978790e-001
 5.930000000000000e+000,-7.433026751356845e-001, 6.593912465287732e-001,-3.490658504007683e-001
 5.940000000000000e+000,-7.528015363411232e-001, 6.684061132965866e-001,-3.490658504003846e-001
 5.950000000000000e+000,-7.613958233031761e-001, 6.767500758051721e-001,-3.490658503997887e-001
 5.960000000000000e+000,-2.188636884136476e-001, 3.387900814774880e-001,-3.490659369447184e-001
 5.970000000000000e+000,-2.231072944844326e-001, 3.423935868004859e-001,-3.490658512035593e-001
 5.980000000000000e+000,-2.365763299963139e-001, 3.407098497497758e-001,-3.490673135950251e-001
 5.990000000000000e+000,-2.481892150789038e-001, 3.395229936173225e-001,-3.490684804624245e-001
 6.000000000000000e+000,-2.528253028195762e-001, 3.413764208265839e-001,-3.490685693580538e-001
 6.010000000000000e+000,-2.571413120854286e-001, 3.430719067629284e-001,-3.490686545460676e-001
 6.020000000000000e+000,-2.610446254564900e-001, 3.446063270359479e-001,-3.490687328887234e-001
 6.030000000000000e+000,-2.644389307309234e-001, 3.459378025567230e-001,-3.490688013696563e-001
 6.040000000000000e+000,-2.672406304265186e-001, 3.470190524816617e-001,-3.490688580989984e-001
 6.050000000000000e+000,-2.693974271551620e-001, 3.478264555973869e-001,-3.490689027992829e-001
 6.060000000000000e+000,-2.708889061231498e-001, 3.483674172141118e-001,-3.490689339924926e-001
 6.070000000000000e+000,-2.717541299221530e-001, 3.486780490413908e-001,-3.490689589554137e-001
 6.080000000000000e+000,-2.720362572925089e-001, 3.488031745521758e-001,-3.490689779930219e-001
 6.090000000000000e+000,-2.718049435875834e-001, 3.487910359122270e-001,-3.490689934279258e-001
 6.100000000000000e+000,-2.711407898052547e-001, 3.486872560561360e-001,-3.490690070999837e-001
 6.110000000000000e+000,-2.701272831188109e-001, 3.485332723197872e-001,-3.490690203823490e-001
 6.120000000000000e+000,-2.688445331876654e-001, 3.483658040134459e-001,-3.490690343124595e-001
 6.130000000000000e+000,-2.673663240541569e-001, 3.482156535053846e-001,-3.490690496988848e-001
 6.140000000000000e+000,-2.657591371081555e-001, 3.481061941594652e-001,-3.490690671337799e-001
 6.150000000000000e+000,-2.640800240533150e-001, 3.480541655039047e-001,-3.490690870085777e-001
 6.160000000000000e+000,-2.623724710633676e-001, 3.480720827881596e-001,-3.490691096149142e-001
 6.170000000000000e+000,-2.606652053609645e-001, 3.481682823466308e-001,-3.490691351524147e-001
 6.180000000000000e+000,-2.589762273553961e-001, 3.483447251780232e-001,-3.490691635320526e-001
 6.190000000000000e+000,-2.573168354693329e-001, 3.485962795638478e-001,-3.490691942050203e-001
 6.200000000000000e+000,-2.556938079441859e-001, 3.489129577294405e-001,-3.490692262323443e-001
 6.210000000000000e+000,-2.541125646020537e-001, 3.492830809442644e-001,-3.490692585241968e-001
 6.220000000000000e+000,-2.525800307085399e-001, 3.496947730817048e-001,-3.490692900616527e-001
 6.230000000000000e+000,-2.511042874312280e-001, 3.501362045044403e-001,-3.490693200383209e-001
 6.240000000000000e+000,-2.496924835319631e-001, 3.505972083454807e-001,-3.490693479881076e-001
 6.250000000000000e+000,-2.483511332785942e-001, 3.510725625621192e-001,-3.490693738985150e-001
 6.260000000000000e+000,-2.470883532094770e-001, 3.515638405843726e-001,-3.490693982009459e-001
 6.270000000000000e+000,-2.459132071247787e-001, 3.520782627539467e-001,-3.490694216098482e-001
 6.280000000000000e+000,-2.448329450495442e-001, 3.526268103415546e-001,-3.490694449300603e-001
 6.290000000000000e+000,-2.438517012801878e-001, 3.532228222125375e-001,-3.490694689378380e-001
 6.300000000000000e+000,-2.429687783349821e-001, 3.538793575555290e-001,-3.490694943271999e-001
 6.310000000000000e+000,-2.421761070339439e-001, 3.546050095947886e-001,-3.490695216808833e-001
 6.320000000000000e+000,-2.414582761428535e-001, 3.554003924082405e-001,-3.490695514258027e-001
 6.330000000000000e+000,-2.407939556296050e-001, 3.562568719940571e-001,-3.490695837612517e-001
 6.340000000000000e+000,-2.401559870187617e-001, 3.571586138561058e-001,-3.490696186711580e-001
 6.350000000000000e+000,-2.395127496020823e-001, 3.580882663287577e-001,-3.490696560634222e-001
 6.359999999999999e+000,-2.388316836262575e-001, 3.590322836347253e-001,-3.490696958515507e-001
 6.370000000000000e+000,-2.380819914310083e-001, 3.599817208784057e-001,-3.490697378795800e-001
 6.380000000000000e+000,-2.372377077858667e-001, 3.609299214488650e-001,-3.490697818307558e-001
 6.390000000000000e+000,-2.362821236187942e-001, 3.618698643656619e-001,-3.490698272413068e-001
 6.400000000000000e+000,-2.352101041565780e-001, 3.627925117939037e-001,-3.490698735924854e-001
 6.410000000000000e+000,-2.340282809497513e-001, 3.636876626963987e-001,-3.490699203928750e-001
 6.420000000000000e+000,-2.327707056770887e-001, 3.645519230398890e-001,-3.490699854961109e-001
 6.430000000000000e+000,-2.314412151403959e-001, 3.653680026645731e-001,-3.490700326718784e-001
 6.440000000000000e+000,-2.300922940094921e-001, 3.661364690832367e-001,-3.490700788782982e-001
 6.450000000000000e+000,-2.287585217903872e-001, 3.668562400967153e-001,-3.490701237650662e-001
 6.460000000000000e+000,-2.274658164312542e-001, 3.675335392074675e-001,-3.490701672417191e-001
 6.470000000000000e+000,-2.262321799829186e-001, 3.681827364526114e-001,-3.490702094511221e-001
 6.480000000000000e+000,-2.250683743587588e-001, 3.688235082234004e-001,-3.490702506442658e-001
 6.490000000000000e+000,-2.239770881718913e-001, 3.694774360939892e-001,-3.490702911158691e-001
 6.500000000000000e+000,-2.229536940138372e-001, 3.701653122220723e-001,-3.490703312575217e-001
 6.510000000000000e+000,-2.219891103165873e-001, 3.709049698264584e-001,-3.490703715899027e-001
 6.520000000000000e+000,-2.210719987027970e-001, 3.717097831217040e-001,-3.490704126684678e-001
 6.529999999999999e+000,-2.201907506785371e-001, 3.725869541973721e-001,-3.490704549037255e-001
 6.540000000000000e+000,-2.193382668383510e-001, 3.735354366671215e-001,-3.490704983891563e-001
 6.550000000000000e+000,-2.185164696213805e-001, 3.745463803621227e-001,-3.490705428939289e-001
 6.560000000000000e+000,-2.177352336999988e-001, 3.756070270050336e-001,-3.490705880522350e-001
 6.570000000000000e+000,-2.170083569443287e-001, 3.767037141072513e-001,-3.490706335221169e-001
 6.580000000000000e+000,-2.163511913886592e-001, 3.778216082314718e-001,-3.490706789894252e-001
